gcc12-libs 12.3.0-3
gcr 3.41.1-4
gcr-4 4.1.0-1
gd 2.3.3-7
gdb 13.2-1
gdb-common 13.2-1
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
geoclue 2.7.1-1
gettext 0.22.2-1
ghostscript 10.02.0-1
giflib 5.2.1-2
girara 0.4.0-1
git 2.42.0-1
git-filter-repo 2.38.0-1
git-lfs 3.3.0-1
github-cli 2.35.0-1
gitkraken 9.7.1-1
gitlab-runner 16.4.0-1
glew 2.2.0-6
glib-networking 1:2.78.0-1
glib2 2.78.0-2
glib2-docs 2.78.0-2
glibc 2.38-5
glibmm 2.66.6-1
glibmm-2.68 2.78.0-1
glslang 13.0.0-1
glu 9.0.3-1
gmp 6.3.0-1
gmrun 1.4w-1
gn 0.2119.cc56a0f9-1
gnome-calculator 44.0-1
gnome-desktop 1:44.0-1
gnome-desktop-common 1:44.0-1
gnome-disk-utility 45.0-1
gnome-icon-theme 3.12.0-7
gnome-icon-theme-symbolic 3.12.0-6
gnome-keyring 1:42.1-3
gnome-themes-extra 3.28+r6+g45b1d457-1
gnu-free-fonts 20120503-8
gnupg 2.2.41-2
gnutls 3.8.1-2
go 2:1.21.1-1
gobject-introspection 1.78.1-1
gobject-introspection-runtime 1.78.1-1
google-earth-pro 7.3.6.9345-1
gparted 1.5.0-1
gperf 3.1-5
gperftools 2.13-1
gpgme 1.22.0-1
gpm 1.20.7.r38.ge82d1a6-5
gptfdisk 1.0.9-2
grantlee 5.3.1-1
graphene 1.10.8-1
graphite 1:1.3.14-3
graphviz 9.0.0-1
grep 3.11-1
grilo 0.3.16-1
groff 1.23.0-5
groovy 4.0.12-1
grub 2:2.12rc1-1
grub-customizer 5.2.3-1
gsettings-desktop-schemas 44.0-1
gsfonts 20200910-3
gsm 1.0.22-1
gsmartcontrol 1.1.4-1
gspell 1.12.2-1
gssdp 1.6.2-1
gst-libav 1.22.6-1
gst-plugins-bad 1.22.6-1
gst-plugins-bad-libs 1.22.6-1
gst-plugins-base 1.22.6-1
gst-plugins-base-libs 1.22.6-1
gst-plugins-good 1.22.6-1
gst-python 1.22.6-1
gstreamer 1.22.6-1
gtest 1.14.0-1
gtk-doc 1.33.2-3
gtk-engine-murrine 0.98.2-4
gtk-update-icon-cache 1:4.12.3-1
gtk-vnc 1.3.1-1
gtk2 2.24.33-3
gtk3 1:3.24.38-1
gtk4 1:4.12.3-1
gtkglext 1.2.0-13
gtkmm3 3.24.8-1
gtksourceview4 4.8.4-1
gtksourceview5 5.8.0-1
gts 0.7.6.121130-2
guile 3.0.9-1
gumbo-parser 0.12.1-1
gunicorn 20.1.0-10
gupnp 1:1.6.5-1
gupnp-dlna 0.12.0-2
gupnp-igd 1.6.0-1
gvfs 1.52.0-1
gvfs-smb 1.52.0-1
gwe 0.15.5-3
gzip 1.13-2
handbrake 1.6.1-2
harfbuzz 8.2.1-1
harfbuzz-icu 8.2.1-1
heaptrack 1.5.0-2
hicolor-icon-theme 0.17-3
hidapi 0.14.0-2
highway 1.0.7-1
htop 3.2.2-1
http-parser 2.9.4-1
httpie-desktop-bin 2023.3.5-1
hwdata 0.374-1
hwinfo 23.2-1
hwloc 2.9.1-1
hyphen 2.8.8-5
i2c-tools 4.3-4
i3-wm 4.22-4
iana-etc 20230907-1
icon-naming-utils 0.8.90-5
icu 73.2-2
ijs 0.35-5
imagemagick 7.1.1.19-1
imath 3.1.9-2
imlib2 1.12.1-1
imwheel 1.0.0pre12-6
inetutils 2.4-2
informant 0.5.0-1
iniparser 4.1-4
intltool 0.51.0-6
ioquake3-git 20210403.g4003a5b7-1
iproute2 6.5.0-1
iptables 1:1.8.9-1
iputils 20221126-2
ipython 8.16.0-1
iso-codes 4.15.0-1
itstool 1:2.0.7-1
jack2 1.9.22-1
jansson 2.14-2
jasper 4.0.0-1
java-environment-common 3-5
java-hamcrest 1.3-5
java-runtime-common 3-5
jbig2dec 0.19-1
jbigkit 2.1-7
jdk-openjdk 21.u35-3
jdk11-openjdk 11.0.20.1.u1-1
jdk17-openjdk 17.0.8.1.u1-1
jdk8-openjdk 8.382.u05-1
jemalloc 1:5.3.0-3
jose 11-2
jq 1.7-1
jre-openjdk 21.u35-3
jre-openjdk-headless 21.u35-3
jre11-openjdk 11.0.20.1.u1-1
jre11-openjdk-headless 11.0.20.1.u1-1
jre17-openjdk 17.0.8.1.u1-1
jre17-openjdk-headless 17.0.8.1.u1-1
jre8-openjdk 8.382.u05-1
jre8-openjdk-headless 8.382.u05-1
json-c 0.17-1
json-glib 1.8.0-1
jsoncpp 1.9.5-2
junit 4.13.2-1
jupyter-console 6.6.3-2
kaccounts-integration 23.08.1-1
kactivities5 5.110.0-1
karchive5 5.110.0-1
kate 23.08.1-1
kauth5 5.110.0-1
kbd 2.6.3-1
kbookmarks5 5.110.0-1
kcmutils5 5.110.0-1
kcodecs5 5.110.0-1
kcompletion5 5.110.0-1
kconfig5 5.110.0-1
kconfigwidgets5 5.110.0-1
kcontacts5 5.110.0-2
kcoreaddons5 5.110.0-1
kcrash5 5.110.0-1
kdbusaddons5 5.110.0-1
kdeclarative5 5.110.0-1
kdeconnect 23.08.1-1
kded5 5.110.0-2
kdenlive 23.08.1-1
kdevelop 23.08.1-2
kdevelop-meta 23.08-1
kdevelop-pg-qt 2.2.2-1
kdevelop-php 23.08.1-1
kdevelop-python 23.08.1-1
kdiagram 2.8.0-1
kdialog 23.08.1-1
keyutils 1.6.3-2
kfilemetadata5 5.110.0-1
kglobalaccel5 5.110.0-1
kguiaddons5 5.110.0-1
ki18n5 5.110.0-1
kiconthemes5 5.110.0-1
kio5 5.110.0-2
kirigami-addons 0.11.0-2
kirigami2 5.110.0-1
kitemmodels5 5.110.0-1
kitemviews5 5.110.0-1
kjobwidgets5 5.110.0-1
kjs 5.110.0-1
kmod 30-3
knewstuff5 5.110.0-1
knotifications5 5.110.0-1
knotifyconfig5 5.110.0-1
kpackage5 5.110.0-1
kparts5 5.110.0-1
kpeople5 5.110.0-1
kpeoplevcard 0.1-1
kpty5 5.110.0-1
krb5 1.20.1-1
kservice5 5.110.0-1
ktexteditor5 5.110.0-1
ktextwidgets5 5.110.0-1
kuserfeedback 1.2.0-1
kwallet5 5.110.0-1
kwayland5 5.110.0-1
kwidgetsaddons5 5.110.0-1
kwindowsystem5 5.110.0-1
kxmlgui5 5.110.0-1
l-smash 2.14.5-3
lame 3.100-4
lapack 3.11.0-2
lcms2 2.15-1
ldb 2:2.8.0-1
ldns 1.8.3-2
leftwm 0.4.2-2
less 1:643-1
leveldb 1.23-3
lib32-acl 2.3.1-2
lib32-alsa-lib 1.2.10-2
lib32-at-spi2-core 2.50.0-1
lib32-attr 2.5.1-1
lib32-brotli 1.0.9-12
lib32-bzip2 1.0.8-3
lib32-cairo 1.18.0-1
lib32-colord 1.4.6-1
lib32-curl 8.3.0-1
lib32-dbus 1.14.10-1
lib32-duktape 2.7.0-6
lib32-e2fsprogs 1.47.0-1
lib32-expat 2.5.0-2
lib32-faudio 23.09-1
lib32-flac 1.4.3-1
lib32-fontconfig 2:2.14.2-1
lib32-freetype2 2.13.2-1
lib32-fribidi 1.0.13-2
lib32-gcc-libs 13.2.1-3
lib32-gdk-pixbuf2 2.42.10-2
lib32-gettext 0.22.2-1
lib32-giflib 5.2.1-1
lib32-glib-networking 1:2.78.0-1
lib32-glib2 2.78.0-2
lib32-glibc 2.38-5
lib32-glu 9.0.3-1
lib32-gmp 6.3.0-1
lib32-gnutls 3.8.1-1
lib32-gst-plugins-base-libs 1.22.6-1
lib32-gstreamer 1.22.6-1
lib32-gtk3 1:3.24.38-1
lib32-harfbuzz 8.2.1-1
lib32-icu 73.2-1
lib32-json-glib 1.8.0-1
lib32-keyutils 1.6.3-1
lib32-krb5 1.20.1-1
lib32-lcms2 2.15-1
lib32-libasyncns 1:0.8+r3+g68cd5af-2
lib32-libcanberra 1:0.30+r2+gc0620e4-2
lib32-libcap 2.69-1
lib32-libcups 2.4.7-1
lib32-libdatrie 0.2.13-2
lib32-libdrm 2.4.116-1
lib32-libelf 0.189-1
lib32-libepoxy 1.5.10-1
lib32-libffi 3.4.4-1
lib32-libgcrypt 1.10.2-1
lib32-libglvnd 1.6.0-1
lib32-libgpg-error 1.47-1
lib32-libice 1.1.1-1
lib32-libidn2 2.3.4-2
lib32-libjpeg-turbo 3.0.0-1
lib32-libldap 2.6.6-1
lib32-libltdl 2.4.7-3
lib32-libnl 3.8.0-1
lib32-libogg 1.3.5-1
lib32-libpcap 1.10.4-1
lib32-libpciaccess 0.17-1
lib32-libpng 1.6.40-2
lib32-libproxy 0.5.3-1
lib32-libpsl 0.21.2-1
lib32-libpulse 16.1-6
lib32-librsvg 2:2.57.0-1
lib32-libsm 1.2.4-1
lib32-libsndfile 1.2.2-1
lib32-libsoup 2.74.3-1
lib32-libssh2 1.11.0-1
lib32-libtasn1 4.19.0-1
lib32-libthai 0.1.29-2
lib32-libtiff 4.6.0-1
lib32-libtirpc 1.3.3-2
lib32-libunistring 1.1-1
lib32-libunwind 1.6.2-2
lib32-libva 2.20.0-1
lib32-libvorbis 1.3.7-1
lib32-libx11 1.8.6-1
lib32-libxau 1.0.11-1
lib32-libxcb 1.16-1
lib32-libxcomposite 0.4.6-1
lib32-libxcrypt 4.4.36-1
lib32-libxcursor 1.2.1-2
lib32-libxdamage 1.1.6-1
lib32-libxdmcp 1.1.4-1
lib32-libxext 1.3.5-1
lib32-libxfixes 6.0.1-1
lib32-libxft 2.3.8-1
lib32-libxi 1.8.1-1
lib32-libxinerama 1.1.5-1
lib32-libxkbcommon 1.5.0-1
lib32-libxml2 2.11.5-1
lib32-libxrandr 1.5.3-1
lib32-libxrender 0.9.11-1
lib32-libxshmfence 1.3.2-1
lib32-libxslt 1.1.38-1
lib32-libxtst 1.2.4-1
lib32-libxv 1.0.12-1
lib32-libxxf86vm 1.1.5-1
lib32-llvm-libs 16.0.6-2
lib32-lm_sensors 1:3.6.0.r41.g31d1f125-2
lib32-mesa 1:23.2.1-1
lib32-mpg123 1.32.2-1
lib32-ncurses 6.4_20230520-1
lib32-nettle 3.9.1-1
lib32-nvidia-utils 535.113.01-1
lib32-ocl-icd 2.3.2-1
lib32-openal 1.23.1-1
lib32-opencl-nvidia 535.113.01-1
lib32-openssl 1:3.1.3-1
lib32-opus 1.4-1
lib32-orc 0.4.34-1
lib32-p11-kit 0.25.0-2
lib32-pam 1.5.3-1
lib32-pango 1:1.50.14-1
lib32-pcre 8.45-3
lib32-pcre2 10.42-1
lib32-pixman 0.42.2-1
lib32-readline 8.2.001-2
lib32-rest 0.8.1-4
lib32-sdl2 2.28.3-1
lib32-sqlite 3.43.1-1
lib32-systemd 254.5-1
lib32-tdb 1.4.9-1
lib32-util-linux 2.39.2-1
lib32-v4l-utils 1.24.1-1
lib32-vulkan-icd-loader 1.3.263-1
lib32-wayland 1.22.0-1
lib32-xz 5.4.4-1
lib32-zlib 1.3-1
lib32-zstd 1.5.5-1
libaccounts-glib 1.26-2
libaccounts-qt 1.16-3
libadwaita 1:1.4.0-1
libaio 0.3.113-2
libao 1.2.2-6
libappindicator-gtk3 12.10.0.r298-3
libarchive 3.7.2-1
libass 0.17.1-1
libassuan 2.5.6-1
libasyncns 1:0.8+r3+g68cd5af-2
libatasmart 0.19-6
libatomic_ops 7.8.0-1
libavc1394 0.5.4-6
libavif 1.0.1-1
libavtp 0.2.0-2
libayatana-appindicator 0.5.92-2
libayatana-indicator 0.9.3-1
libb2 0.98.1-2
libblockdev 3.0.3-4
libbluray 1.3.4-1
libbpf 1.2.2-1
libbs2b 3.1.0-8
libbsd 0.11.7-1
libburn 1.5.6-1
libbytesize 2.8-2
libcaca 0.99.beta20-2
libcacard 2.7.0-3
libcamera 0.1.0-2
libcamera-ipa 0.1.0-2
libcanberra 1:0.30+r2+gc0620e4-3
libcap 2.69-1
libcap-ng 0.8.3-2
libcddb 1.3.2-7
libcdio 2.1.0-3
libcdio-paranoia 10.2+2.0.1-3
libcloudproviders 0.3.4-1
libcolord 1.4.6-1
libconfig 1.7.3-2
libcroco 0.6.13-2
libcue 2.2.1-3
libcups 1:2.4.7-2
libcupsfilters 2.0.0-1
libcurl-compat 8.3.0-1
libcurl-gnutls 8.3.0-1
libdaemon 0.14-5
libdatrie 0.2.13-4
libdazzle 3.44.0-1
libdbusmenu-glib 16.04.0.r498-2
libdbusmenu-gtk3 16.04.0.r498-2
libdbusmenu-qt5 0.9.3+16.04.20160218-6
libdc1394 2.2.7-1
libdca 0.0.7-2
libde265 1.0.12-1
libdecor 0.2.0-1
libdeflate 1.19-1
libdovi 3.2.0-2
libdrm 2.4.116-1
libdv 1.0.0-11
libdvbpsi 1:1.3.3-3
libdvdnav 6.1.1-2
libdvdread 6.1.3-2
libebml 1.4.4-1
libebur128 1.2.6-1
libedit 20230828_3.1-1
libelf 0.189-3
libepoxy 1.5.10-2
libev 4.33-2
libevdev 1.13.1-1
libevent 2.1.12-4
libexif 0.6.24-2
libfakekey 0.3-2
libfbclient 4.0.0.2496-1
libfdk-aac 2.0.2-1
libffi 3.4.4-1
libfm 1.3.2-1
libfm-extra 1.3.2-1
libfm-gtk2 1.3.2-1
libfontenc 1.1.7-1
libfreeaptx 0.1.1-1
libftdi 1.5-5
libgcrypt 1.10.2-1
libgee 0.20.6-1
libgexiv2 0.14.2-1
libgirepository 1.78.1-1
libgit2 1:1.7.1-1
libglvnd 1.6.0-1
libgme 0.6.3-4
libgpg-error 1.47-1
libgphoto2 2.5.31-1
libgrss 0.7.0+16+g971c421-3
libgsf 1.14.50-1
libgssglue 0.7-1
libgtop 2.41.1-1
libgudev 238-1
libgusb 0.4.6-1
libgxps 0.3.2-4
libhandy 1.8.2-1
libheif 1.16.2-1
libice 1.1.1-2
libid3tag 0.15.1b-12
libidn 1.41-1
libidn2 2.3.4-3
libiec61883 1.2.0-7
libimagequant 4.2.1-1
libimobiledevice 1.3.0-9
libindicator-gtk3 12.10.1-10
libinih 57-1
libinput 1.24.0-1
libinstpatch 1.1.6-2
libiptcdata 1.0.5-2
libisl 0.26-1
libisoburn 1.5.6-1
libisofs 1.5.6-1
libjpeg-turbo 3.0.0-1
libjpeg6-turbo 1.5.3-2
libjxl 0.8.2-2
libkate 0.4.1-9
libkexiv2 23.08.1-1
libkomparediff2 23.08.1-1
libksba 1.6.4-1
libksysguard 5.27.8-2
libldac 2.0.2.3-1
libldap 2.6.6-1
liblouis 3.27.0-1
liblqr 0.4.2-3
liblrdf 0.6.1-4
libltc 1.3.2-1
libluv 1.45.0_0-1
liblzf 3.6-4
libmad 0.15.1b-10
libmalcontent 0.11.1-2
libmanette 0.2.6-5
libmatroska 1.7.1-1
libmaxminddb 1.7.1-1
libmbim 1.28.4-1
libmd 1.1.0-1
libmfx 23.2.2-2
libmicrodns 0.2.0-1
